,datetime,tx_lat,tx_lon,tx_loc,date,time,altitude_m,altitude_ft,type
7,2021-12-22 18:18:00,41.479,-87.042,EN61,2021-12-22,18:18:00,3000,9840,8
124,2021-12-22 18:58:00,41.688,-86.792,EN61oq,2021-12-22,18:58:00,5100,16728,8
125,2021-12-22 19:00:00,41.563,-86.625,EN61qn,2021-12-22,19:00:00,740,2427,0
262,2021-12-22 20:08:00,40.479,-85.042,EN70,2021-12-22,20:08:00,6900,22632,8
353,2021-12-23 12:38:00,36.479,-73.042,FM36,2021-12-23,12:38:00,6900,22632,8
699,2021-12-23 16:00:00,36.563,-70.625,FM46qn,2021-12-23,16:00:00,660,2164,0
1189,2021-12-23 19:30:00,37.729,-67.458,FM67gr,2021-12-23,19:30:00,660,2164,0
1190,2021-12-23 19:50:00,37.854,-67.125,FM67ku,2021-12-23,19:50:00,540,1771,0
1230,2021-12-24 11:40:00,46.021,-40.458,GN96sa,2021-12-24,11:40:00,600,1967,0
1273,2021-12-24 12:08:00,46.104,-39.875,HN06bc,2021-12-24,12:08:00,6900,22632,8
1274,2021-12-24 12:10:00,46.146,-39.625,HN06ed,2021-12-24,12:10:00,540,1771,0
1275,2021-12-24 12:28:00,46.146,-39.625,HN06ed,2021-12-24,12:28:00,6900,22632,8
1276,2021-12-24 12:30:00,46.229,-39.042,HN06lf,2021-12-24,12:30:00,540,1771,0
1345,2021-12-24 12:50:00,46.271,-38.542,HN06rg,2021-12-24,12:50:00,600,1967,0
1398,2021-12-24 13:10:00,46.354,-37.958,HN16ai,2021-12-24,13:10:00,600,1967,0
1840,2021-12-24 15:58:00,46.563,-33.958,HN36an,2021-12-24,15:58:00,6900,22632,8
1841,2021-12-24 16:00:00,46.563,-33.375,HN36hn,2021-12-24,16:00:00,600,1967,0
1949,2021-12-24 16:50:00,46.521,-31.958,HN46am,2021-12-24,16:50:00,600,1967,0
2042,2021-12-25 09:38:00,40.729,-9.708,IN50dr,2021-12-25,09:38:00,6900,22632,8
2045,2021-12-25 09:58:00,40.604,-9.542,IN50fo,2021-12-25,09:58:00,6900,22632,8
2046,2021-12-25 10:00:00,40.354,-9.292,IN50ii,2021-12-25,10:00:00,740,2427,0
2089,2021-12-25 10:20:00,40.063,-9.042,IN50lb,2021-12-25,10:20:00,600,1967,0
2148,2021-12-25 10:40:00,39.771,-8.875,IM59ns,2021-12-25,10:40:00,660,2164,0
2174,2021-12-25 10:58:00,39.604,-8.708,IM59po,2021-12-25,10:58:00,6900,22632,8
2189,2021-12-25 11:18:00,39.271,-8.542,IM59rg,2021-12-25,11:18:00,6900,22632,8
2190,2021-12-25 11:20:00,39.104,-8.375,IM59tc,2021-12-25,11:20:00,740,2427,0
2243,2021-12-25 11:38:00,38.938,-8.292,IM58uw,2021-12-25,11:38:00,6900,22632,8
2244,2021-12-25 11:40:00,38.729,-8.208,IM58vr,2021-12-25,11:40:00,740,2427,0
2253,2021-12-25 11:58:00,38.479,-7.042,IM68,2021-12-25,11:58:00,6900,22632,8
2304,2021-12-25 12:20:00,37.979,-7.792,IM67cx,2021-12-25,12:20:00,660,2164,0
2349,2021-12-25 12:40:00,37.604,-7.542,IM67fo,2021-12-25,12:40:00,660,2164,0
2382,2021-12-25 12:58:00,37.396,-7.458,IM67gj,2021-12-25,12:58:00,6900,22632,8
2445,2021-12-25 13:18:00,36.979,-7.292,IM66ix,2021-12-25,13:18:00,6900,22632,8
2446,2021-12-25 13:20:00,36.771,-7.208,IM66js,2021-12-25,13:20:00,740,2427,0
2502,2021-12-25 13:38:00,36.604,-7.125,IM66ko,2021-12-25,13:38:00,6900,22632,8
2503,2021-12-25 13:40:00,36.396,-7.042,IM66lj,2021-12-25,13:40:00,740,2427,0
2554,2021-12-25 13:58:00,35.479,-7.042,IM65,2021-12-25,13:58:00,6900,22632,8
2555,2021-12-25 14:00:00,35.979,-6.875,IM65nx,2021-12-25,14:00:00,600,1967,0
2562,2021-12-25 14:18:00,35.729,-6.792,IM65or,2021-12-25,14:18:00,6900,22632,8
2563,2021-12-25 14:20:00,35.521,-6.708,IM65pm,2021-12-25,14:20:00,660,2164,0
2638,2021-12-25 14:38:00,35.271,-6.625,IM65qg,2021-12-25,14:38:00,6900,22632,8
2639,2021-12-25 14:40:00,35.021,-6.542,IM65ra,2021-12-25,14:40:00,660,2164,0
2689,2021-12-25 14:58:00,34.771,-6.458,IM64ss,2021-12-25,14:58:00,6900,22632,8
2690,2021-12-25 15:00:00,34.521,-6.375,IM64tm,2021-12-25,15:00:00,660,2164,0
2737,2021-12-25 15:18:00,34.271,-6.375,IM64tg,2021-12-25,15:18:00,6900,22632,8
2738,2021-12-25 15:30:00,33.771,-6.208,IM63vs,2021-12-25,15:30:00,740,2427,0
2902,2021-12-25 16:28:00,32.646,-5.958,IM72ap,2021-12-25,16:28:00,6900,22632,8
2903,2021-12-25 16:30:00,32.438,-5.875,IM72bk,2021-12-25,16:30:00,860,2820,0
2904,2021-12-26 07:38:00,19.479,-1.042,IK99,2021-12-26,07:38:00,6900,22632,8
2905,2021-12-26 07:40:00,19.521,-0.042,IK99xm,2021-12-26,07:40:00,740,2427,0
2995,2021-12-26 13:08:00,17.479,4.958,JK27,2021-12-26,13:08:00,6900,22632,8
2996,2021-12-26 13:30:00,17.313,4.708,JK27ih,2021-12-26,13:30:00,1000,3280,0
3019,2021-12-26 15:08:00,17.479,6.958,JK37,2021-12-26,15:08:00,6900,22632,8
3020,2021-12-26 15:10:00,17.146,6.292,JK37dd,2021-12-26,15:10:00,940,3083,0
3027,2021-12-27 06:18:00,24.479,22.958,KL14,2021-12-27,06:18:00,6900,22632,8
3028,2021-12-27 06:20:00,24.146,22.375,KL14ed,2021-12-27,06:20:00,940,3083,0
3176,2021-12-27 10:58:00,26.563,27.208,KL36on,2021-12-27,10:58:00,6900,22632,8
3245,2021-12-27 12:38:00,27.146,28.958,KL47ld,2021-12-27,12:38:00,6900,22632,8
